Fecha,CCAA,Tipo_Producto,Producto_slug,Consumo_Tm
2023-02,Andalucía,OTROS GASOLEOS,OtrosGasoleos,46966
2023-02,Andalucía,OTROS QUEROSENOS,OtrosQueroseno,0
2023-02,Andalucía,QUEROSENO AVIACIÓN,QuerosenoAviacion,32623
2023-02,Aragón,BIODIESEL,Biodiesel,0
2023-02,Aragón,BIOETANOL,Bioetanol,0
2023-02,Aragón,FUELÓLEO  BIA,Fueloleo_BIA,503
2023-02,Aragón,GLP,GLP,7047
2023-02,Aragón,GASÓLEO A,GasoleoA,63296
2023-02,Aragón,GASÓLEO B,GasoleoB,25029
2023-02,Aragón,GASÓLEO C,GasoleoC,14796
2023-02,Aragón,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,11285
2023-02,Aragón,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,368
2023-02,Aragón,OTRAS GASOLINAS,OtrasGasolinas,2
2023-02,Aragón,OTROS FUELÓLEOS,OtrosFueloleos,0
2023-02,Aragón,OTROS GASOLEOS,OtrosGasoleos,17
2023-02,Aragón,OTROS QUEROSENOS,OtrosQueroseno,0
2023-02,Aragón,QUEROSENO AVIACIÓN,QuerosenoAviacion,5103
2023-02,"Asturias, Principado de",BIODIESEL,Biodiesel,0
2023-02,"Asturias, Principado de",BIOETANOL,Bioetanol,0
2023-02,"Asturias, Principado de",FUELÓLEO  BIA,Fueloleo_BIA,6203
2023-02,"Asturias, Principado de",GLP,GLP,3539
2023-02,"Asturias, Principado de",GASÓLEO A,GasoleoA,31707
2023-02,"Asturias, Principado de",GASÓLEO B,GasoleoB,8094
2023-02,"Asturias, Principado de",GASÓLEO C,GasoleoC,4833
2023-02,"Asturias, Principado de",GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,7149
2023-02,"Asturias, Principado de",GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,374
2023-02,"Asturias, Principado de",OTRAS GASOLINAS,OtrasGasolinas,2
2023-02,"Asturias, Principado de",OTROS FUELÓLEOS,OtrosFueloleos,533
2023-02,"Asturias, Principado de",OTROS GASOLEOS,OtrosGasoleos,2734
2023-02,"Asturias, Principado de",OTROS QUEROSENOS,OtrosQueroseno,0
2023-02,"Asturias, Principado de",QUEROSENO AVIACIÓN,QuerosenoAviacion,1115
2023-02,"Balears, Illes",BIODIESEL,Biodiesel,0
2023-02,"Balears, Illes",BIOETANOL,Bioetanol,0
2023-02,"Balears, Illes",FUELÓLEO  BIA,Fueloleo_BIA,50
2023-02,"Balears, Illes",GLP,GLP,5025
2023-02,"Balears, Illes",GASÓLEO A,GasoleoA,23260
2023-02,"Balears, Illes",GASÓLEO B,GasoleoB,4461
2023-02,"Balears, Illes",GASÓLEO C,GasoleoC,14556
2023-02,"Balears, Illes",GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,14371
2023-02,"Balears, Illes",GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,625
2023-02,"Balears, Illes",OTRAS GASOLINAS,OtrasGasolinas,11
2023-02,"Balears, Illes",OTROS FUELÓLEOS,OtrosFueloleos,0
2023-02,"Balears, Illes",OTROS GASOLEOS,OtrosGasoleos,1531
2023-02,"Balears, Illes",OTROS QUEROSENOS,OtrosQueroseno,0
2023-02,"Balears, Illes",QUEROSENO AVIACIÓN,QuerosenoAviacion,11871
2023-02,Canarias,BIODIESEL,Biodiesel,0
2023-02,Canarias,BIOETANOL,Bioetanol,0
2023-02,Canarias,FUELÓLEO  BIA,Fueloleo_BIA,49987
2023-02,Canarias,GLP,GLP,7282
2023-02,Canarias,GASÓLEO A,GasoleoA,50882
2023-02,Canarias,GASÓLEO B,GasoleoB,0
2023-02,Canarias,GASÓLEO C,GasoleoC,0
2023-02,Canarias,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,32361
2023-02,Canarias,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,7086
2023-02,Canarias,OTRAS GASOLINAS,OtrasGasolinas,5
2023-02,Canarias,OTROS FUELÓLEOS,OtrosFueloleos,101701
2023-02,Canarias,OTROS GASOLEOS,OtrosGasoleos,166680
