Grupos ECOICOP	Tipo de dato	Periodo	Total
07 Transporte	Variación de las medias anuales	2024	0,7
07 Transporte	Variación de las medias anuales	2023	-0,4
07 Transporte	Variación de las medias anuales	2022	12,1
07 Transporte	Variación de las medias anuales	2021	7,3
07 Transporte	Variación de las medias anuales	2020	-3,8
07 Transporte	Variación de las medias anuales	2019	1,1
07 Transporte	Variación de las medias anuales	2018	3,6
07 Transporte	Variación de las medias anuales	2017	4,2
07 Transporte	Variación de las medias anuales	2016	-2,1
07 Transporte	Variación de las medias anuales	2015	-4,5
07 Transporte	Variación de las medias anuales	2014	-0,9
07 Transporte	Variación de las medias anuales	2013	0,4
07 Transporte	Variación de las medias anuales	2012	4,8
07 Transporte	Variación de las medias anuales	2011	8,0
07 Transporte	Variación de las medias anuales	2010	6,9
07 Transporte	Variación de las medias anuales	2009	-5,8
07 Transporte	Variación de las medias anuales	2008	5,8
07 Transporte	Variación de las medias anuales	2007	2,1
07 Transporte	Variación de las medias anuales	2006	4,5
07 Transporte	Variación de las medias anuales	2005	6,3
07 Transporte	Variación de las medias anuales	2004	4,4
07 Transporte	Variación de las medias anuales	2003	2,1
07 Transporte	Variación de las medias anuales	2002	""
08 Comunicaciones	Media anual	2025	103,460
08 Comunicaciones	Media anual	2024	101,880
08 Comunicaciones	Media anual	2023	101,821
08 Comunicaciones	Media anual	2022	98,748
08 Comunicaciones	Media anual	2021	100,000
08 Comunicaciones	Media anual	2020	103,085
08 Comunicaciones	Media anual	2019	104,333
08 Comunicaciones	Media anual	2018	103,531
08 Comunicaciones	Media anual	2017	101,263
08 Comunicaciones	Media anual	2016	99,964
08 Comunicaciones	Media anual	2015	97,465
08 Comunicaciones	Media anual	2014	99,276
08 Comunicaciones	Media anual	2013	105,735
08 Comunicaciones	Media anual	2012	110,404
08 Comunicaciones	Media anual	2011	114,274
08 Comunicaciones	Media anual	2010	115,208
08 Comunicaciones	Media anual	2009	116,082
08 Comunicaciones	Media anual	2008	116,862
08 Comunicaciones	Media anual	2007	116,883
08 Comunicaciones	Media anual	2006	116,672
08 Comunicaciones	Media anual	2005	118,233
08 Comunicaciones	Media anual	2004	120,122
08 Comunicaciones	Media anual	2003	121,391
08 Comunicaciones	Media anual	2002	124,625
08 Comunicaciones	Variación de las medias anuales	2025	1,6
08 Comunicaciones	Variación de las medias anuales	2024	0,1
08 Comunicaciones	Variación de las medias anuales	2023	3,1
08 Comunicaciones	Variación de las medias anuales	2022	-1,3
08 Comunicaciones	Variación de las medias anuales	2021	-3,0
08 Comunicaciones	Variación de las medias anuales	2020	-1,2
08 Comunicaciones	Variación de las medias anuales	2019	0,8
08 Comunicaciones	Variación de las medias anuales	2018	2,2
08 Comunicaciones	Variación de las medias anuales	2017	1,3
08 Comunicaciones	Variación de las medias anuales	2016	2,6
08 Comunicaciones	Variación de las medias anuales	2015	-1,8
08 Comunicaciones	Variación de las medias anuales	2014	-6,1
08 Comunicaciones	Variación de las medias anuales	2013	-4,2
08 Comunicaciones	Variación de las medias anuales	2012	-3,4
08 Comunicaciones	Variación de las medias anuales	2011	-0,8
