Sexo	Comunidades y Ciudades Autónomas	Edad	Periodo	Total
Ambos sexos	03 Asturias, Principado de	Total	2023T4	11,81
Ambos sexos	03 Asturias, Principado de	Total	2023T3	13,09
Ambos sexos	03 Asturias, Principado de	Total	2023T2	10,45
Ambos sexos	03 Asturias, Principado de	Total	2023T1	13,06
Ambos sexos	03 Asturias, Principado de	Total	2022T4	14,39
Ambos sexos	03 Asturias, Principado de	Total	2022T3	12,81
Ambos sexos	03 Asturias, Principado de	Total	2022T2	11,36
Ambos sexos	03 Asturias, Principado de	Total	2022T1	11,97
Ambos sexos	03 Asturias, Principado de	Total	2021T4	10,01
Ambos sexos	03 Asturias, Principado de	Total	2021T3	12,32
Ambos sexos	03 Asturias, Principado de	Total	2021T2	13,64
Ambos sexos	03 Asturias, Principado de	Total	2021T1	14,09
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2023T4	28,63
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2023T3	29,56
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2023T2	23,98
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2023T1	26,64
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2022T4	47,53
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2022T3	43,35
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2022T2	29,36
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2022T1	25,48
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2021T4	10,43
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2021T3	29,24
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2021T2	38,63
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2021T1	37,63
Ambos sexos	03 Asturias, Principado de	25 y más años	2023T4	11,03
Ambos sexos	03 Asturias, Principado de	25 y más años	2023T3	12,10
Ambos sexos	03 Asturias, Principado de	25 y más años	2023T2	9,77
Ambos sexos	03 Asturias, Principado de	25 y más años	2023T1	12,44
Ambos sexos	03 Asturias, Principado de	25 y más años	2022T4	12,46
Ambos sexos	03 Asturias, Principado de	25 y más años	2022T3	11,17
Ambos sexos	03 Asturias, Principado de	25 y más años	2022T2	10,59
Ambos sexos	03 Asturias, Principado de	25 y más años	2022T1	11,40
Ambos sexos	03 Asturias, Principado de	25 y más años	2021T4	10,00
Ambos sexos	03 Asturias, Principado de	25 y más años	2021T3	11,53
Ambos sexos	03 Asturias, Principado de	25 y más años	2021T2	12,54
Ambos sexos	03 Asturias, Principado de	25 y más años	2021T1	13,35
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2023T4	71,48
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2023T3	67,90
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2023T2	74,89
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2023T1	50,71
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2022T4	74,50
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2022T3	74,12
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2022T2	51,09
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2022T1	87,86
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2021T4	83,66
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2021T3	29,60
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2021T2	67,60
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2021T1	23,39
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2023T4	18,60
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2023T3	20,41
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2023T2	16,21
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2023T1	22,12
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2022T4	42,47
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2022T3	38,28
