Target,Model,Scenario,Fecha,Forecast,Selected_Model_Uses_Scenario_Inputs
Madrid,Random Forest,Mandate_Delayed,2027-04,2954.6,False
Madrid,Random Forest,Mandate_Delayed,2027-05,2978.8,False
Madrid,Random Forest,Mandate_Delayed,2027-06,3008.2,False
Madrid,Random Forest,Mandate_Delayed,2027-07,2975.7,False
Madrid,Random Forest,Mandate_Delayed,2027-08,2935.5,False
Madrid,Random Forest,Mandate_Delayed,2027-09,2967.5,False
Madrid,Random Forest,Mandate_Delayed,2027-10,2970.4,False
Madrid,Random Forest,Mandate_Delayed,2027-11,2995.4,False
Madrid,Random Forest,Mandate_Delayed,2027-12,2956.3,False
Madrid,XGBoost,Neutral,2026-01,2536.4,False
Madrid,XGBoost,Neutral,2026-02,2536.4,False
Madrid,XGBoost,Neutral,2026-03,2575.6,False
Madrid,XGBoost,Neutral,2026-04,2571.3,False
Madrid,XGBoost,Neutral,2026-05,2619.9,False
Madrid,XGBoost,Neutral,2026-06,2733.4,False
Madrid,XGBoost,Neutral,2026-07,2733.4,False
Madrid,XGBoost,Neutral,2026-08,2731.2,False
Madrid,XGBoost,Neutral,2026-09,2733.4,False
Madrid,XGBoost,Neutral,2026-10,2733.4,False
Madrid,XGBoost,Neutral,2026-11,2733.4,False
Madrid,XGBoost,Neutral,2026-12,2733.4,False
Madrid,XGBoost,Neutral,2027-01,2536.4,False
Madrid,XGBoost,Neutral,2027-02,2536.4,False
Madrid,XGBoost,Neutral,2027-03,2575.6,False
Madrid,XGBoost,Neutral,2027-04,2571.3,False
Madrid,XGBoost,Neutral,2027-05,2619.9,False
Madrid,XGBoost,Neutral,2027-06,2733.4,False
Madrid,XGBoost,Neutral,2027-07,2733.4,False
Madrid,XGBoost,Neutral,2027-08,2731.2,False
Madrid,XGBoost,Neutral,2027-09,2733.4,False
Madrid,XGBoost,Neutral,2027-10,2733.4,False
Madrid,XGBoost,Neutral,2027-11,2733.4,False
Madrid,XGBoost,Neutral,2027-12,2733.4,False
Madrid,XGBoost,Macro_Downturn,2026-01,2323.1,False
Madrid,XGBoost,Macro_Downturn,2026-02,2305.5,False
Madrid,XGBoost,Macro_Downturn,2026-03,2341.2,False
Madrid,XGBoost,Macro_Downturn,2026-04,2337.2,False
Madrid,XGBoost,Macro_Downturn,2026-05,2381.4,False
Madrid,XGBoost,Macro_Downturn,2026-06,2579.4,False
Madrid,XGBoost,Macro_Downturn,2026-07,2599.1,False
Madrid,XGBoost,Macro_Downturn,2026-08,2597.0,False
Madrid,XGBoost,Macro_Downturn,2026-09,2599.1,False
Madrid,XGBoost,Macro_Downturn,2026-10,2599.1,False
Madrid,XGBoost,Macro_Downturn,2026-11,2599.1,False
Madrid,XGBoost,Macro_Downturn,2026-12,2599.1,False
Madrid,XGBoost,Macro_Downturn,2027-01,2323.1,False
Madrid,XGBoost,Macro_Downturn,2027-02,2305.5,False
Madrid,XGBoost,Macro_Downturn,2027-03,2341.2,False
Madrid,XGBoost,Macro_Downturn,2027-04,2337.2,False
Madrid,XGBoost,Macro_Downturn,2027-05,2381.4,False
Madrid,XGBoost,Macro_Downturn,2027-06,2579.4,False
Madrid,XGBoost,Macro_Downturn,2027-07,2599.1,False
Madrid,XGBoost,Macro_Downturn,2027-08,2597.0,False
Madrid,XGBoost,Macro_Downturn,2027-09,2599.1,False
Madrid,XGBoost,Macro_Downturn,2027-10,2599.1,False
Madrid,XGBoost,Macro_Downturn,2027-11,2599.1,False
Madrid,XGBoost,Macro_Downturn,2027-12,2599.1,False
Madrid,XGBoost,Mandate_Delayed,2026-01,2536.4,False
Madrid,XGBoost,Mandate_Delayed,2026-02,2536.4,False
Madrid,XGBoost,Mandate_Delayed,2026-03,2575.6,False
Madrid,XGBoost,Mandate_Delayed,2026-04,2571.3,False
Madrid,XGBoost,Mandate_Delayed,2026-05,2619.9,False
Madrid,XGBoost,Mandate_Delayed,2026-06,2733.4,False
Madrid,XGBoost,Mandate_Delayed,2026-07,2733.4,False
Madrid,XGBoost,Mandate_Delayed,2026-08,2731.2,False
Madrid,XGBoost,Mandate_Delayed,2026-09,2733.4,False
Madrid,XGBoost,Mandate_Delayed,2026-10,2733.4,False
Madrid,XGBoost,Mandate_Delayed,2026-11,2733.4,False
Madrid,XGBoost,Mandate_Delayed,2026-12,2733.4,False
Madrid,XGBoost,Mandate_Delayed,2027-01,2536.4,False
Madrid,XGBoost,Mandate_Delayed,2027-02,2536.4,False
