Fecha,Target,Model,Forecast
2026-01,Valencia,RF+Prices,293.4
2026-02,Valencia,RF+Prices,288.5
2026-03,Valencia,RF+Prices,283.8
2026-04,Valencia,RF+Prices,283.5
2026-05,Valencia,RF+Prices,282.7
2026-06,Valencia,RF+Prices,313.1
2026-07,Valencia,RF+Prices,332.6
2026-08,Valencia,RF+Prices,347.1
2026-09,Valencia,RF+Prices,353.4
2026-10,Valencia,RF+Prices,357.2
2026-11,Valencia,RF+Prices,354.9
2026-12,Valencia,RF+Prices,344.9
2027-01,Valencia,RF+Prices,291.7
2027-02,Valencia,RF+Prices,288.5
2027-03,Valencia,RF+Prices,283.8
2027-04,Valencia,RF+Prices,283.5
2027-05,Valencia,RF+Prices,282.7
2027-06,Valencia,RF+Prices,313.1
2027-07,Valencia,RF+Prices,332.6
2027-08,Valencia,RF+Prices,347.1
2027-09,Valencia,RF+Prices,353.4
2027-10,Valencia,RF+Prices,357.2
2027-11,Valencia,RF+Prices,354.9
2027-12,Valencia,RF+Prices,344.9
2026-01,Valencia,XGB+Prices,359.3
2026-02,Valencia,XGB+Prices,358.5
2026-03,Valencia,XGB+Prices,356.0
2026-04,Valencia,XGB+Prices,403.4
2026-05,Valencia,XGB+Prices,363.3
2026-06,Valencia,XGB+Prices,357.9
2026-07,Valencia,XGB+Prices,345.0
2026-08,Valencia,XGB+Prices,393.1
2026-09,Valencia,XGB+Prices,388.8
2026-10,Valencia,XGB+Prices,394.0
2026-11,Valencia,XGB+Prices,390.6
2026-12,Valencia,XGB+Prices,411.3
2027-01,Valencia,XGB+Prices,362.0
2027-02,Valencia,XGB+Prices,358.5
2027-03,Valencia,XGB+Prices,356.0
2027-04,Valencia,XGB+Prices,403.4
2027-05,Valencia,XGB+Prices,363.3
2027-06,Valencia,XGB+Prices,357.9
2027-07,Valencia,XGB+Prices,345.0
2027-08,Valencia,XGB+Prices,393.1
2027-09,Valencia,XGB+Prices,388.8
2027-10,Valencia,XGB+Prices,394.0
2027-11,Valencia,XGB+Prices,390.6
2027-12,Valencia,XGB+Prices,411.3
