Fecha,Target,Model,Forecast
2026-06,Madrid,Diesel Share,5025.9
2026-07,Madrid,Diesel Share,17657.2
2026-08,Madrid,Diesel Share,5957.2
2026-09,Madrid,Diesel Share,44228.7
2026-10,Madrid,Diesel Share,9641.5
2026-11,Madrid,Diesel Share,18897.6
2026-12,Madrid,Diesel Share,7382.2
2027-01,Madrid,Diesel Share,40752.3
2027-02,Madrid,Diesel Share,5625.8
2027-03,Madrid,Diesel Share,32498.8
2027-04,Madrid,Diesel Share,1917.3
2027-05,Madrid,Diesel Share,45116.1
2027-06,Madrid,Diesel Share,2468.4
2027-07,Madrid,Diesel Share,46106.4
2027-08,Madrid,Diesel Share,1244.1
2027-09,Madrid,Diesel Share,44228.7
2027-10,Madrid,Diesel Share,4130.8
2027-11,Madrid,Diesel Share,42950.4
2027-12,Madrid,Diesel Share,2495.8
2026-01,Cataluña,SARIMA,3497.8
2026-02,Cataluña,SARIMA,3628.5
2026-03,Cataluña,SARIMA,3754.7
2026-04,Cataluña,SARIMA,3876.1
2026-05,Cataluña,SARIMA,3987.9
2026-06,Cataluña,SARIMA,4088.8
2026-07,Cataluña,SARIMA,4181.6
2026-08,Cataluña,SARIMA,4254.5
2026-09,Cataluña,SARIMA,4324.4
2026-10,Cataluña,SARIMA,4406.3
2026-11,Cataluña,SARIMA,4465.2
2026-12,Cataluña,SARIMA,4526.6
2027-01,Cataluña,SARIMA,4581.1
2027-02,Cataluña,SARIMA,4630.7
2027-03,Cataluña,SARIMA,4675.9
2027-04,Cataluña,SARIMA,4717.1
2027-05,Cataluña,SARIMA,4754.4
2027-06,Cataluña,SARIMA,4788.3
2027-07,Cataluña,SARIMA,4819.0
2027-08,Cataluña,SARIMA,4846.7
2027-09,Cataluña,SARIMA,4871.8
2027-10,Cataluña,SARIMA,4894.7
2027-11,Cataluña,SARIMA,4915.2
2027-12,Cataluña,SARIMA,4933.9
2026-01,Cataluña,Logistic,3564.4
2026-02,Cataluña,Logistic,3634.8
2026-03,Cataluña,Logistic,3710.2
2026-04,Cataluña,Logistic,3780.1
2026-05,Cataluña,Logistic,3833.6
2026-06,Cataluña,Logistic,3862.5
2026-07,Cataluña,Logistic,3863.9
2026-08,Cataluña,Logistic,3841.3
2026-09,Cataluña,Logistic,3803.9
2026-10,Cataluña,Logistic,3764.0
2026-11,Cataluña,Logistic,3734.3
2026-12,Cataluña,Logistic,3724.2
2027-01,Cataluña,Logistic,3737.6
2027-02,Cataluña,Logistic,3771.8
2027-03,Cataluña,Logistic,3818.4
2027-04,Cataluña,Logistic,3865.4
2027-05,Cataluña,Logistic,3900.8
2027-06,Cataluña,Logistic,3915.3
2027-07,Cataluña,Logistic,3905.3
2027-08,Cataluña,Logistic,3873.8
2027-09,Cataluña,Logistic,3829.4
2027-10,Cataluña,Logistic,3784.0
2027-11,Cataluña,Logistic,3750.0
2027-12,Cataluña,Logistic,3736.5
2026-01,Cataluña,Gompertz,3484.5
2026-02,Cataluña,Gompertz,3566.6
2026-03,Cataluña,Gompertz,3656.4
2026-04,Cataluña,Gompertz,3741.2
2026-05,Cataluña,Gompertz,3807.9
2026-06,Cataluña,Gompertz,3846.8
2026-07,Cataluña,Gompertz,3854.6
2026-08,Cataluña,Gompertz,3835.2
2026-09,Cataluña,Gompertz,3798.8
2026-10,Cataluña,Gompertz,3759.5
2026-11,Cataluña,Gompertz,3731.6
2026-12,Cataluña,Gompertz,3725.7
2027-01,Cataluña,Gompertz,3745.9
2027-02,Cataluña,Gompertz,3789.2
2027-03,Cataluña,Gompertz,3845.7
2027-04,Cataluña,Gompertz,3902.1
2027-05,Cataluña,Gompertz,3944.5
2027-06,Cataluña,Gompertz,3962.8
2027-07,Cataluña,Gompertz,3952.9
2027-08,Cataluña,Gompertz,3918.5
2027-09,Cataluña,Gompertz,3869.4
2027-10,Cataluña,Gompertz,3819.3
2027-11,Cataluña,Gompertz,3782.3
2027-12,Cataluña,Gompertz,3768.6
2026-01,Cataluña,Ridge,6623.6
2026-02,Cataluña,Ridge,22861.7
2026-03,Cataluña,Ridge,1671133.1
2026-04,Cataluña,Ridge,3269016.4
2026-05,Cataluña,Ridge,3269016.4
2026-06,Cataluña,Ridge,3269016.4
2026-07,Cataluña,Ridge,3269016.4
2026-08,Cataluña,Ridge,3269016.4
2026-09,Cataluña,Ridge,3269016.4
2026-10,Cataluña,Ridge,3269016.4
2026-11,Cataluña,Ridge,3269016.4
2026-12,Cataluña,Ridge,3269016.4
2027-01,Cataluña,Ridge,3269016.4
